"","ID","quarter","course level","prompt","age","gender","L1","other L1s","L at home","L studied","listening","reading","speaking","writing","lived in Span-speaking co","level","first_person_verb","second_person_verb","third_person_verb","total_main_verbs","total_verbs","Indicative_mood","Subjunctive_mood","Imperative_mood","Participle_mood","Gerund_mood","Infinitive_mood","Present_tense","Imperfect_tense","Future_tense","Preterit_tense","Conditional_tense","ADJECTIVE","CONJUNCTION","DETERMINER","NOUN","PRONOUN","ADVERB","ADPOSITION","VERB","NUMBER","DATE","INTERJECTION","PUNCTUATION","mtld","NumAdj","NumVb","NumTokens","self_assessment_score"
"11",9367,"S18","SPA 3","vacation","22","Male","English",NA,"I do speak some Spanish to my parents as my parents are fluent in Spanish. However, it usually comes out as ""Spanglish"" (a mix of Spanish and English) or I just talk in pure English.",NA,3,4,3,3,"Yes",3,11,0,15,26,40,22,4,0,6,0,8,16,4,0,0,6,22,18,41,74,17,14,36,40,0,0,0,48,101.371470085069,18,32,264,13
"12",18221,"S18","SPA 1","vacation","21","Female","Other","Vietnamese ","Vietnamese ",NA,1,1,2,2,"No",1,10,1,10,21,37,21,0,0,2,0,14,18,0,0,0,3,8,13,23,33,11,5,21,37,0,0,0,12,35.4867724867725,10,24,152,6
"13",28170,"SU17","SPA 3","vacation","22","Female","Other","Hmong","Hmong",NA,4,4,3,3,"No",3,15,3,13,31,50,25,6,0,5,0,14,19,0,8,2,2,7,21,39,56,32,11,31,50,0,0,0,27,35.8571428571429,11,38,251,14
"14",36367,"S18","SPA 3","vacation","21","Female","English","N/a","No","N/a",3,1,1,2,"No",3,22,0,11,33,52,31,2,0,2,0,17,31,0,2,0,0,19,22,41,61,26,6,26,52,1,0,0,31,62.0749551166966,20,41,254,7
"15",42897,"F18","SPA 1","terrible","24","Male","English","No","I speak a little bit of Japanese at home, though I am not too good at it.","Japanese",2,2,2,2,"No",1,0,0,13,13,15,12,1,0,0,0,2,12,0,0,1,0,13,11,35,49,0,10,10,15,1,2,0,22,35.4704106280193,12,12,151,8
"16",42897,"S19","SPA 3","terrible","24","Male","English","no","I speak conversational Japanese","Japanese at home",3,3,3,3,"No",3,9,6,36,51,61,49,0,2,2,1,7,35,0,0,14,0,13,13,58,68,17,14,15,61,0,0,0,82,76.5425219941349,14,52,258,12
"17",42897,"W19","SPA 2","terrible","24","Male","English","no","I speak Japan conversationally.","Japanese though learning has been inconsistent. ",2,3,2,2,"No",2,0,4,38,42,50,38,1,3,2,2,4,28,4,1,6,0,18,16,43,67,10,14,26,50,4,0,2,58,54.9165803108808,21,32,263,9
"18",43035,"S18","SPA 3","vacation","32","Male","English,Spanish",NA,"Espanol -- Mexicano","Portuguese 2 years",3,4,4,4,"Yes",3,15,0,6,21,28,18,3,0,1,0,6,17,1,1,2,0,8,13,45,87,20,3,47,28,1,0,0,48,74.3013164086918,7,28,272,15
"19",81925,"SU17","SPA 1","vacation","30","Male","Other","Vietnamese","Vietnamese","English-14 years

French-1 years

 ",1,1,1,2,"No",1,14,1,14,29,42,28,0,1,3,0,10,27,0,0,0,1,7,10,30,57,15,9,38,42,0,3,1,56,63.192082111437,9,23,213,5
"20",88310,"W18","SPA 2","vacation","23","Male","English",NA,"tigrinya",NA,3,2,1,2,"No",2,19,0,22,41,57,41,0,0,1,0,15,40,0,0,1,0,14,13,49,68,17,12,33,57,2,0,0,50,50.8833333333333,15,42,258,8
"21",94554,"S18","SPA 3","vacation","24","Female","English",NA,"No","I have studied only Spanish for 3 years.",3,3,3,3,"No",3,11,0,14,25,36,25,0,0,2,0,9,12,4,0,1,8,10,4,29,44,10,5,20,36,1,0,0,28,69.6005747126437,11,26,159,12
"22",100848,"SU17","SPA 2","vacation","22","Female","English",NA,NA,NA,3,3,3,3,"No",2,17,1,19,37,63,36,1,0,2,0,24,36,0,0,1,0,18,23,32,55,22,13,22,63,0,0,0,32,100.459324452902,19,45,253,12
"23",101900,"S18","SPA 3","vacation","23","Female","English",NA,"No","French - 1 quarter at UC Davis

Japanese - 5 years",3,2,2,3,"No",3,28,0,15,43,66,42,1,0,4,1,18,23,3,2,1,14,24,28,53,56,15,18,35,66,0,0,0,38,93.552200583646,29,44,296,10
"24",101900,"W18","SPA 2","vacation","23","Female","English",NA,NA,"Japaense, I studied it for 10 years. 

French, I studied for one year. ",2,1,2,3,"No",2,3,4,28,35,56,32,3,0,4,0,17,26,5,1,2,1,25,22,39,57,12,14,29,56,3,0,0,46,79.5633484162896,26,31,253,8
"25",102309,"SU17","SPA 2","vacation","21","Female","English",NA,NA,"French - 3 years",2,3,2,3,"No",2,11,0,13,24,44,24,0,0,3,9,8,24,0,0,0,0,22,19,41,63,16,17,27,44,1,0,0,45,120,25,32,256,10
"26",103347,"S18","SPA 3","vacation","21","Female","English",NA,"Hmong",NA,3,2,2,3,"No",3,18,0,27,45,66,42,3,0,0,0,21,36,7,0,1,1,17,19,35,55,18,15,24,66,1,0,0,42,56.4765600406809,17,50,250,10
